edge_operator,checkpoint,checkpoint_epoch,condition,person_ap,person_ap50,person_ap75,person_ar100,person_recall_iou50_conf025,person_recall_iou75_conf025,precision_iou50_conf025,f1_iou50_conf025,mean_matched_iou,mean_gt_iou_with_misses,fp_per_image_conf025,failure_rate
sobel,best_seen_map,5,clean,0.5253324862848345,0.7679151676172393,0.5600714148033568,0.6428876310661594,0.6728462377317339,0.5437113776808433,0.7358378056052475,0.7029336371404159,0.8431141376495361,0.5705237984657288,0.5367528271405493,
sobel,best_seen_map,5,seen,0.5300700496015737,0.7636237769518649,0.5662639733851529,0.6467848195230583,0.6790258087968012,0.5523446019629226,0.7134536427002769,0.6958141267402337,0.8462958931922913,0.5779457092285156,0.6060177705977383,0.017828200972447326
sobel,best_seen_map,5,unseen,0.5360080094277812,0.7670065267789659,0.5728713387736045,0.649772664006681,0.6849327517266448,0.5607960741548528,0.7138662625497253,0.6991002689917447,0.8478729128837585,0.5841699242591858,0.6100565428109854,0.01769313884386818
canny,best_seen_map,5,clean,0.5251179678384832,0.766927334108889,0.5595046354053244,0.6427855618446692,0.6756633951290439,0.544529262086514,0.7324401536794405,0.7029071141574096,0.8426300883293152,0.57273930311203,0.5484652665589661,
canny,best_seen_map,5,seen,0.5196901693783618,0.7573073221717971,0.5519628065315899,0.6392038600723764,0.6680298073427844,0.5370774263904035,0.7214643242712729,0.6937196244042844,0.8438447713851929,0.5667997002601624,0.5731017770597738,0.027168796234028243
canny,best_seen_map,5,unseen,0.5274226145879022,0.7615142326221161,0.5608318429350525,0.6429433051869722,0.6723009814612868,0.5440748818611414,0.7214745465184318,0.6960203217612193,0.8458415865898132,0.571861982345581,0.5767366720516963,0.02676529926025555
laplacian,best_seen_map,5,clean,0.5257751900241822,0.7678688631681894,0.5597811664907637,0.6424329590795211,0.6741185023627771,0.5448018902217375,0.735620785402618,0.7035280728376327,0.8433184623718262,0.5717291831970215,0.5383683360258481,
laplacian,best_seen_map,5,seen,0.5324287925261322,0.7637558211757653,0.5689981888396346,0.6462002412545236,0.6802071973827699,0.5556161395856052,0.7119079322807685,0.6956966260804907,0.8475334644317627,0.5799568295478821,0.6116720516962844,0.021029927204098138
laplacian,best_seen_map,5,unseen,0.5344727960297642,0.7646037139090485,0.5703521377141357,0.6469518418854969,0.6822064703744093,0.556979280261723,0.7132541567695962,0.6973849226624553,0.8477009534835815,0.5815647840499878,0.6094507269789984,0.019142626044756
