edge_operator,checkpoint,checkpoint_epoch,condition,person_ap,person_ap50,person_ap75,person_ar100,person_recall_iou50_conf025,person_recall_iou75_conf025,precision_iou50_conf025,f1_iou50_conf025,mean_matched_iou,mean_gt_iou_with_misses,fp_per_image_conf025,failure_rate
canny,best_seen_map,5,clean,0.523850727218651,0.7645101941452267,0.558587626986316,0.6411710123410969,0.6742093784078517,0.5433478735005453,0.7325960304137454,0.7021910936538734,0.842613160610199,0.571456789970398,0.5468497576736672,
canny,best_seen_map,5,seen,0.5184810468210087,0.755641880572966,0.5509362771623688,0.6376821007701587,0.6667575427117411,0.5362595419847328,0.7211519559661883,0.6928888469166116,0.8437827229499817,0.5657496452331543,0.5728998384491115,0.027227389136002155
canny,best_seen_map,5,unseen,0.5262438580203825,0.7601725292603404,0.5589679789130028,0.6414308249048899,0.6712104689203926,0.5428026172300982,0.7215004395819088,0.69544748364013,0.8457796573638916,0.5708547830581665,0.5757269789983845,0.02668823291548726
laplacian,best_seen_map,5,clean,0.5246071800748646,0.765597302916586,0.5585502701735501,0.641078222139742,0.6727553616866594,0.5435296255906943,0.7355191256830601,0.7027386207223884,0.8432732820510864,0.5705804228782654,0.5375605815831987,
laplacian,best_seen_map,5,seen,0.5311589091607903,0.7616187088455793,0.5674564515695684,0.6447619931335251,0.6788440567066522,0.5539803707742639,0.7119031735442676,0.6949806949806949,0.8474316000938416,0.5787515640258789,0.6104604200323102,0.020937457787383495
laplacian,best_seen_map,5,unseen,0.5332880060208769,0.7625204269716082,0.5694082410377495,0.6456713371068015,0.6808433296982915,0.5556161395856052,0.7135238095238096,0.6968005952380952,0.8476367592811584,0.5803793668746948,0.6074313408723748,0.019046332567877886
