model_checkpoint,attack_condition,metric,clean_minus_attack
proposed_v1:best_seen_map,unseen,person_ap75,-0.004576124171845164
proposed_v1:best_seen_map,unseen,person_recall_iou50_conf025,-0.006270447110141797
proposed_v1:best_seen_map,unseen,person_recall_iou75_conf025,-0.00972373682297345
proposed_v1:best_seen_map,unseen,precision_iou50_conf025,0.015105665132538748
proposed_v1:best_seen_map,unseen,f1_iou50_conf025,0.0038766779748217184
proposed_v1:best_seen_map,unseen,mean_gt_iou_with_misses,-0.005939066410064697
proposed_v2:best_clean_map,seen,person_ap,0.013555859144921745
proposed_v2:best_clean_map,seen,person_ap50,0.0218839962119608
proposed_v2:best_clean_map,seen,person_ap75,0.016054676594580264
proposed_v2:best_clean_map,seen,person_recall_iou50_conf025,0.009541984732824416
proposed_v2:best_clean_map,seen,person_recall_iou75_conf025,0.007724463831334072
proposed_v2:best_clean_map,seen,precision_iou50_conf025,0.0378684706587078
proposed_v2:best_clean_map,seen,f1_iou50_conf025,0.02265618460364449
proposed_v2:best_clean_map,seen,mean_gt_iou_with_misses,0.0076084136962890625
proposed_v2:best_clean_map,unseen,person_ap,0.010850711925228795
proposed_v2:best_clean_map,unseen,person_ap50,0.019364750641445827
proposed_v2:best_clean_map,unseen,person_ap75,0.012351166289122362
proposed_v2:best_clean_map,unseen,person_recall_iou50_conf025,0.006270447110141797
proposed_v2:best_clean_map,unseen,person_recall_iou75_conf025,0.004452926208651453
proposed_v2:best_clean_map,unseen,precision_iou50_conf025,0.03541828002267511
proposed_v2:best_clean_map,unseen,f1_iou50_conf025,0.01976984135798776
proposed_v2:best_clean_map,unseen,mean_gt_iou_with_misses,0.004927635192871094
proposed_v2:best_seen_map,seen,person_ap,0.013341524913528802
proposed_v2:best_seen_map,seen,person_ap50,0.021181390278094292
proposed_v2:best_seen_map,seen,person_ap75,0.015393238687177568
proposed_v2:best_seen_map,seen,person_recall_iou50_conf025,0.009905488913122484
proposed_v2:best_seen_map,seen,person_recall_iou75_conf025,0.007633587786259444
proposed_v2:best_seen_map,seen,precision_iou50_conf025,0.03726077854928567
proposed_v2:best_seen_map,seen,f1_iou50_conf025,0.022306153428963027
proposed_v2:best_seen_map,seen,mean_gt_iou_with_misses,0.007835209369659424
proposed_v2:best_seen_map,unseen,person_ap,0.010723070611827534
proposed_v2:best_seen_map,unseen,person_ap50,0.017812209830808445
proposed_v2:best_seen_map,unseen,person_ap75,0.012202325948069581
proposed_v2:best_seen_map,unseen,person_recall_iou50_conf025,0.006724827335514383
proposed_v2:best_seen_map,unseen,person_recall_iou75_conf025,0.0046346782988003765
proposed_v2:best_seen_map,unseen,precision_iou50_conf025,0.03318536823111484
proposed_v2:best_seen_map,unseen,f1_iou50_conf025,0.018708014730411282
proposed_v2:best_seen_map,unseen,mean_gt_iou_with_misses,0.00499725341796875
