model,checkpoint,params,gflops,forward_plus_nms_ms,fps,peak_vram_gib
pretrained_yolo11n,pretrained,2624080,N/A,3.8671000003814697,258.5917095242831,0.07039260864257812
conventional_adv,best_seen_map,2624080,N/A,4.357999801635742,229.463066892444,0.07039260864257812
proposed_v1,best_seen_map,2640185,N/A,6.28849983215332,159.02043837020793,0.07218122482299805
proposed_v2,best_seen_map,2668571,N/A,6.948699951171875,143.91181185357607,0.07463693618774414
