model,condition,person_ap,person_ap50,person_ap75,recall_iou50,recall_iou75,mean_matched_iou,median_matched_iou,std_matched_iou,matched_count,mean_gt_iou_with_misses,failure_rate
pretrained,clean,0.5324908308217989,0.7712699433925793,0.5683398543539571,0.656215921483097,0.5388949472918939,0.8491636514663696,0.8843498229980469,0.11638104915618896,7221,0.5600701570510864,
pretrained,seen,0.5203620928646232,0.7573611825004315,0.5534207834874924,0.6407669938204289,0.5256270447110142,0.8483482003211975,0.8840152621269226,0.1167970672249794,7051,0.5466994047164917,0.04664391353811148
pretrained,unseen,0.5195649505531339,0.7569574706451977,0.5521397639061763,0.6420392584514721,0.52453653217012,0.8473972082138062,0.8838162422180176,0.11761069297790527,7065,0.5469566583633423,0.04550625711035272
adv_best_seen,clean,0.4902084842955012,0.7389622349331019,0.5150230276332313,0.6754816430388949,0.5259905488913122,0.8318651914596558,0.8672174215316772,0.12243513762950897,7433,0.5652127265930176,
adv_best_seen,seen,0.49685863673333514,0.7208809310279034,0.5276261931773693,0.6898400581606688,0.5502544529262087,0.8396385312080383,0.8762732148170471,0.11977550387382507,7591,0.5824912786483765,0.017823284034888087
adv_best_seen,unseen,0.494667937682659,0.7370239949999412,0.521590999083621,0.6819338422391857,0.5348055252635405,0.83384108543396,0.8685368299484253,0.12154096364974976,7504,0.5721638798713684,0.022753128555176305
proposed_best_clean,clean,0.48611396658102035,0.7381329601484526,0.5075598988620244,0.6655761541257724,0.5156306797528172,0.8320782780647278,0.8657976388931274,0.12188045680522919,7324,0.5565111637115479,
proposed_best_clean,seen,0.49822214939202597,0.729097306025642,0.5273472183368143,0.6857506361323156,0.5449836423118866,0.8390113711357117,0.8761143088340759,0.12080851197242737,7546,0.5780084133148193,0.01744406522563524
proposed_best_clean,unseen,0.48698849119021526,0.7345821281716871,0.5113452120177227,0.670937840785169,0.52453653217012,0.8324354290962219,0.8674523234367371,0.12187115103006363,7383,0.5616500973701477,0.029579067121729197
proposed_best_seen,clean,0.48611396658102035,0.7381329601484526,0.5075598988620244,0.6655761541257724,0.5156306797528172,0.8320782780647278,0.8657976388931274,0.12188045680522919,7324,0.5565111637115479,
proposed_best_seen,seen,0.49831843825266214,0.729204802457847,0.5274530599045906,0.6858415121773901,0.5450745183569611,0.8390247225761414,0.8761181831359863,0.12080612778663635,7547,0.5780938863754272,0.017064846416382284
proposed_best_seen,unseen,0.48698849119021526,0.7345821281716871,0.5113452120177227,0.670937840785169,0.52453653217012,0.8324354290962219,0.8674523234367371,0.12187115103006363,7383,0.5616500973701477,0.029579067121729197
