condition,person_ap_gain,person_ap50_gain,person_ap75_gain,person_ar100_gain,person_recall_iou50_conf025_gain,person_recall_iou75_conf025_gain,precision_iou50_conf025_gain,f1_iou50_conf025_gain,mean_matched_iou_gain,mean_gt_iou_with_misses_gain,fp_per_image_conf025_gain,failure_rate_gain
clean,0.0006377523631707627,0.000424767906438861,0.0018949116535885713,0.0023661501345456637,0.0031806615776082126,0.003453289712831764,-0.0002549358232276644,0.001634093070714826,-0.00034460312012918326,0.002451922087745584,0.003231017770597755,
seen,0.019357766717494118,0.010780807131792192,0.02749097352291041,0.014633014753641982,0.022264631043256933,0.026444929116684834,-0.01276347187915261,0.006191161786076815,0.004881284682903608,0.022031525510824768,0.05553311793214866,-0.014692271496067236
unseen,0.027745057731134115,0.016096371327012915,0.03760175646210551,0.01859515635148934,0.029625590694293047,0.03834969102144681,-0.010331569090307968,0.011202264276734097,0.007349110157896854,0.029912110411310477,0.055331179321486235,-0.015102252782970095
