mode,condition,person_ap,person_ap50,person_ap75,person_ar100,person_recall_iou50_conf025,person_recall_iou75_conf025,precision_iou50_conf025,f1_iou50_conf025,mean_matched_iou,mean_gt_iou_with_misses,fp_per_image_conf025,failure_rate
v3_rgb_only,clean,0.5218724433883482,0.7630018760624214,0.5549738679361129,0.6372459868237914,0.666030534351145,0.537168302435478,0.7362869198312236,0.6993987975951903,0.8433888008624116,0.5617226937041635,0.5300888529886915,
v3_rgb_only,seen,0.5076162217668982,0.7479862604902201,0.5358685738629173,0.6281803841514336,0.6523991275899673,0.5224463831334061,0.7264723740133576,0.687446136167768,0.8416173438173031,0.5490704208709941,0.5458400646203554,0.03411106562969027
v3_rgb_only,unseen,0.5049213412400989,0.7455781819468135,0.5323330163193006,0.6270483436949058,0.6506724827335514,0.5192657215557979,0.723963599595551,0.6853642193931272,0.8409123445522851,0.547158522991127,0.5512924071082391,0.034656842679765314
v3_normal,clean,0.5225101957515189,0.7634266439688603,0.5568687795897015,0.6396121369583371,0.6692111959287532,0.5406215921483097,0.736031984007996,0.7010328906659051,0.8430441977422825,0.5641746157919091,0.5333198707592892,
v3_normal,seen,0.5269739884843924,0.7587670676220123,0.5633595473858277,0.6428133989050756,0.6746637586332243,0.5488913122500909,0.713708902134205,0.6936372979538448,0.8464986285002067,0.5711019463818189,0.601373182552504,0.019418794133623032
v3_normal,unseen,0.532666398971233,0.7616745532738264,0.5699347727814061,0.6456435000463951,0.6802980734278444,0.5576154125772447,0.713632030505243,0.6965664836698613,0.848261454710182,0.5770706334024375,0.6066235864297254,0.01955458989679522
