condition,total_gt,both_success,shape_helps,shape_hurts,both_fail,both_success_rate,shape_helps_rate,shape_hurts_rate,both_fail_rate,net_shape_benefit,net_benefit_rate
clean,11004,7182,182,147,3493,0.6526717557251909,0.01653944020356234,0.013358778625954198,0.31743002544529264,35,0.0031806615776081423
seen,11004,7021,403,158,3422,0.6380407124681934,0.0366230461650309,0.014358415121773901,0.3109778262450018,245,0.022264631043257
unseen,11004,7006,480,154,3364,0.6366775717920756,0.04362050163576881,0.013994910941475827,0.30570701563067976,326,0.029625590694292984
